,count,mean,std,min,25%,50%,75%,max
id,800000.0,399999.5,230940.25201450588,0.0,199999.75,399999.5,599999.25,799999.0
loanAmnt,800000.0,14416.818875,8716.08617806056,500.0,8000.0,12000.0,20000.0,40000.0
term,800000.0,3.482745,0.8558318646411259,3.0,3.0,3.0,3.0,5.0
interestRate,800000.0,13.2383912875,4.765756555335531,5.31,9.75,12.74,15.99,30.99
installment,800000.0,437.94772324999985,261.4603932640636,15.69,248.45,375.135,580.71,1715.42
employmentTitle,799999.0,72005.35171418964,106585.64020385021,0.0,427.0,7755.0,117663.5,378351.0
homeOwnership,800000.0,0.6142125,0.6757485298839249,0.0,0.0,1.0,1.0,5.0
annualIncome,800000.0,76133.91049318752,68947.5136720345,0.0,45600.0,65000.0,90000.0,10999200.0
verificationStatus,800000.0,1.0096825,0.7827161139281513,0.0,0.0,1.0,2.0,2.0
isDefault,800000.0,0.1995125,0.39963416017386366,0.0,0.0,0.0,0.0,1.0
purpose,800000.0,1.7459825,2.367452663891596,0.0,0.0,0.0,4.0,13.0
postCode,799999.0,258.5356481695602,200.03744637277947,0.0,103.0,203.0,395.0,940.0
regionCode,800000.0,16.3857575,11.036679229331959,0.0,8.0,14.0,22.0,50.0
dti,799761.0,18.284557286489342,11.150154831355684,-1.0,11.79,17.61,24.06,999.0
delinquency_2years,800000.0,0.31823875,0.8803245519226223,0.0,0.0,0.0,0.0,39.0
ficoRangeLow,800000.0,696.20408125,31.86599463216397,630.0,670.0,690.0,710.0,845.0
ficoRangeHigh,800000.0,700.20422625,31.86667396741795,634.0,674.0,694.0,714.0,850.0
openAcc,800000.0,11.59802,5.475286481367841,0.0,8.0,11.0,14.0,86.0
pubRec,800000.0,0.214915,0.6064668189847673,0.0,0.0,0.0,0.0,86.0
pubRecBankruptcies,799595.0,0.13416291997823898,0.3774708385996713,0.0,0.0,0.0,0.0,12.0
revolBal,800000.0,16228.706505,22458.02054410196,0.0,5944.0,11132.0,19734.0,2904836.0
revolUtil,799469.0,51.79073381206774,24.516126014114526,0.0,33.4,52.1,70.7,892.3
totalAcc,800000.0,24.99886125,11.999200595429835,2.0,16.0,23.0,32.0,162.0
initialListStatus,800000.0,0.4169525,0.4930551861874499,0.0,0.0,0.0,1.0,1.0
applicationType,800000.0,0.0192675,0.1374637663676419,0.0,0.0,0.0,0.0,1.0
title,799999.0,1754.1135888919862,7941.474040269166,0.0,0.0,1.0,5.0,61680.0
policyCode,800000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
n0,759730.0,0.5119318705329525,1.333265710917609,0.0,0.0,0.0,0.0,51.0
n1,759730.0,3.642329511800245,2.246825302372757,0.0,2.0,3.0,5.0,33.0
n2,759730.0,5.6426480460163475,3.3028100832421754,0.0,3.0,5.0,7.0,63.0
n3,759730.0,5.6426480460163475,3.3028100832421754,0.0,3.0,5.0,7.0,63.0
n4,766761.0,4.735641223275571,2.9499685171373082,0.0,3.0,4.0,6.0,49.0
n5,759730.0,8.10793703026075,4.799209861524596,0.0,5.0,7.0,11.0,70.0
n6,759730.0,8.575994103168231,7.400535995014478,0.0,4.0,7.0,11.0,132.0
n7,759730.0,8.28295315441012,4.561689058020751,0.0,5.0,7.0,10.0,79.0
n8,759729.0,14.622487755502291,8.124610142265059,1.0,9.0,13.0,19.0,128.0
n9,759730.0,5.592344648756796,3.216184208796171,0.0,3.0,5.0,7.0,45.0
n10,766761.0,11.643895555459915,5.484103594434637,0.0,8.0,11.0,14.0,82.0
n11,730248.0,0.0008147916872076336,0.030075061009640712,0.0,0.0,0.0,0.0,4.0
n12,759730.0,0.0033840969818224897,0.06204139749317995,0.0,0.0,0.0,0.0,4.0
n13,759730.0,0.08936595895910389,0.5090688319807603,0.0,0.0,0.0,0.0,39.0
n14,759730.0,2.1786055572374394,1.8443771316117374,0.0,1.0,2.0,3.0,30.0
